z	Mh_final	n_valid_tracks	mean_luv_ratio	median_luv_ratio	p16_luv_ratio	p84_luv_ratio	mean_delta_mag	median_delta_mag
6	1.000000e+08	342	0.994140	0.987064	0.826451	1.241421	nan	nan
6	3.162278e+08	1000	1.436671	1.385150	1.300710	1.498749	nan	nan
6	1.000000e+09	1000	1.369151	1.351546	1.284893	1.442556	nan	nan
6	3.162278e+09	1000	1.331552	1.325631	1.263314	1.402030	nan	nan
6	1.000000e+10	1000	1.305871	1.304532	1.243885	1.368267	0.288420	0.288637
6	3.162278e+10	1000	1.283614	1.284235	1.224559	1.342656	0.269916	0.271611
6	1.000000e+11	1000	1.269470	1.270754	1.216020	1.325478	0.257979	0.260154
6	3.162278e+11	1000	1.271644	1.275444	1.218867	1.327694	0.259815	0.264153
6	1.000000e+12	1000	1.299049	1.305286	1.246527	1.355184	0.282971	0.289264
8	1.000000e+08	439	1.026053	1.006051	0.870797	1.209162	nan	nan
8	3.162278e+08	1000	0.985708	0.948008	0.849411	1.063699	nan	nan
8	1.000000e+09	1000	0.927411	0.909218	0.829037	1.016528	-0.092163	-0.103330
8	3.162278e+09	1000	0.900711	0.879137	0.804599	0.976001	-0.131383	-0.139859
8	1.000000e+10	1000	0.859825	0.854576	0.783250	0.940000	-0.168549	-0.170623
8	3.162278e+10	1000	0.835227	0.832862	0.762360	0.911582	-0.199699	-0.198568
8	1.000000e+11	1000	0.819855	0.818120	0.752880	0.893575	-0.219691	-0.217958
8	3.162278e+11	1000	0.822536	0.823317	0.756816	0.894879	-0.216255	-0.211082
8	1.000000e+12	1000	0.853532	0.856382	0.786057	0.924781	-0.176016	-0.168331
10	1.000000e+08	1000	1.134391	0.806637	0.618562	0.992377	nan	nan
10	3.162278e+08	1000	0.801265	0.778412	0.669495	0.910483	nan	nan
10	1.000000e+09	1000	0.754080	0.736234	0.646797	0.865317	-0.319706	-0.332461
10	3.162278e+09	1000	0.718845	0.703926	0.620890	0.819814	-0.370345	-0.381183
10	1.000000e+10	1000	0.687430	0.678961	0.598606	0.786662	-0.416612	-0.420387
10	3.162278e+10	1000	0.660776	0.654533	0.577233	0.749358	-0.459033	-0.460171
10	1.000000e+11	1000	0.644427	0.638775	0.566613	0.730868	-0.486075	-0.486631
10	3.162278e+11	1000	0.647529	0.644696	0.571865	0.728101	-0.481136	-0.476613
10	1.000000e+12	1000	0.681259	0.681032	0.601946	0.764318	-0.425634	-0.417080
12.5	1.000000e+08	1000	1.026206	0.737447	0.578059	0.920577	nan	nan
12.5	3.162278e+08	1000	0.731337	0.696333	0.580451	0.853597	nan	nan
12.5	1.000000e+09	1000	0.672018	0.650113	0.553990	0.803048	-0.450785	-0.467528
12.5	3.162278e+09	1000	0.635987	0.615908	0.527123	0.755116	-0.509548	-0.526210
12.5	1.000000e+10	1000	0.603706	0.590481	0.502684	0.715204	-0.564301	-0.571985
12.5	3.162278e+10	1000	0.575161	0.564187	0.481104	0.675182	-0.616388	-0.621442
12.5	1.000000e+11	1000	0.558032	0.548292	0.469964	0.656830	-0.649292	-0.652471
12.5	3.162278e+11	1000	0.561628	0.556067	0.476261	0.651250	-0.642870	-0.637183
12.5	1.000000e+12	1000	0.597913	0.593457	0.508655	0.688722	-0.573849	-0.566528
