z_final	mh_final	mean_muv	std_muv	p16	p50	p84	p99	p_lt_tail
6.000000	1.000000e+08	-5.80915433	0.79249465	-6.38912359	-6.06491262	-5.27705068	-2.63704600	0.000000000000e+00
6.000000	1.000000e+09	-11.36142085	0.71599206	-12.03255364	-11.43272472	-10.72103427	-9.24876001	0.000000000000e+00
6.000000	1.000000e+10	-15.97482108	0.54737471	-16.50953575	-16.00301389	-15.42722996	-14.60284402	3.000015000075e-06
6.000000	1.000000e+11	-20.34873595	0.49831345	-20.82748456	-20.35577029	-19.84813341	-19.22538872	9.976020000000e-01
6.000000	1.000000e+12	-23.60093610	0.51924551	-24.07391372	-23.58557751	-23.10373552	-22.49935266	1.000000000000e+00
8.000000	1.000000e+08	-6.10556074	0.81380189	-6.69539453	-6.38469197	-5.53443134	-2.91623423	0.000000000000e+00
8.000000	1.000000e+09	-11.63415855	0.69658886	-12.28886613	-11.72306179	-10.97963479	-9.59969472	0.000000000000e+00
8.000000	1.000000e+10	-16.19822385	0.54878711	-16.72839592	-16.24914594	-15.63596239	-14.80887874	4.000008000016e-06
8.000000	1.000000e+11	-20.54488058	0.50395436	-21.02052545	-20.57529856	-20.05219105	-19.32352250	9.990550000000e-01
8.000000	1.000000e+12	-23.81110695	0.52537150	-24.28396535	-23.82201890	-23.32503896	-22.57874364	1.000000000000e+00
10.000000	1.000000e+08	-7.24282985	0.87681348	-7.99368733	-7.42953086	-6.52640948	-4.19091347	0.000000000000e+00
10.000000	1.000000e+09	-11.96246335	0.67880017	-12.59542263	-12.06696615	-11.30019522	-9.97682107	0.000000000000e+00
10.000000	1.000000e+10	-16.48961033	0.54214868	-17.00436712	-16.55658273	-15.94492433	-15.08029442	3.000012000048e-06
10.000000	1.000000e+11	-20.81469567	0.49860477	-21.27656458	-20.86185250	-20.34790499	-19.52729066	9.998060000000e-01
10.000000	1.000000e+12	-24.09538439	0.52239340	-24.56064760	-24.12529682	-23.63343648	-22.77632811	1.000000000000e+00
12.500000	1.000000e+08	-7.74771246	0.88095329	-8.52241787	-7.92754030	-6.99741453	-4.75228164	0.000000000000e+00
12.500000	1.000000e+09	-12.39201338	0.66831935	-13.00873169	-12.50994135	-11.72628510	-10.42856509	0.000000000000e+00
12.500000	1.000000e+10	-16.89095027	0.53780484	-17.39145012	-16.97358702	-16.37189465	-15.44001838	5.000005000005e-06
12.500000	1.000000e+11	-21.19678727	0.49499875	-21.64622727	-21.26044332	-20.75895649	-19.82909071	9.999740000000e-01
12.500000	1.000000e+12	-24.49057903	0.52105071	-24.94923797	-24.53900268	-24.05104424	-23.07627741	1.000000000000e+00
